,BARMM – Bangsamoro Autonomous Region in Muslim Mindanao,CAR – Cordillera Administrative Region,CARAGA Region,MIMAROPA Region,Region I – Ilocos Region,Region II – Cagayan Valley,Region III – Central Luzon,Region IV‑A – CALABARZON,Region IX – Zamboanga Peninsula,Region V – Bicol Region,Region VI – Western Visayas,Region VII – Central Visayas,Region VIII – Eastern Visayas,Region X – Northern Mindanao,Region XI – Davao Region,Region XII – SOCCSKSARGEN,UNKNOWN
count,590.0,385.0,365.0,365.0,625.0,465.0,650.0,710.0,355.0,385.0,665.0,660.0,585.0,465.0,220.0,155.0,525.0
mean,37721.05084745763,24017.303896103895,38861.03835616438,44923.3095890411,43104.944,40402.374193548385,99109.44769230769,119219.90704225352,52420.69577464789,54373.6025974026,60821.57894736842,62338.15757575758,34905.8905982906,55668.636559139784,117760.56363636363,102902.12903225806,186726.2419047619
std,29189.60453606632,46212.39434702568,47826.660281822,43015.89091414252,36360.41093511263,31651.169175403655,103153.71861694283,152029.3168709418,105779.49686834753,39944.648345534726,70020.52102602624,103353.88057793664,36843.72940512044,89188.03894573625,286092.5536796299,110169.97869542081,418874.41298659774
min,5640.0,2293.0,4126.0,194.0,1658.0,1355.0,11682.0,8045.0,8899.0,8618.0,14214.0,6248.0,6165.0,7088.0,14514.0,39690.0,7800.0
25%,22759.75,8226.0,17657.0,17765.0,17814.0,23150.0,42835.5,31696.0,27022.0,26934.0,30541.0,21480.0,15910.0,23171.0,43976.0,50676.5,27659.0
50%,29704.5,14799.0,27790.0,36911.0,33897.0,32122.0,69710.5,57482.5,36169.0,44347.0,43424.0,35339.5,24477.0,33530.0,61596.0,82282.0,56417.0
75%,40114.5,20057.0,43884.0,57282.0,56504.0,49706.0,121190.5,125264.5,43466.0,68687.0,66454.0,70834.25,39653.0,58397.0,92174.75,101081.0,117018.0
max,225859.0,375055.0,380130.0,306317.0,210709.0,181130.0,862424.0,883851.0,911873.0,223161.0,641653.0,994331.0,279819.0,790580.0,2049938.0,685480.0,3163105.0
